X (m),Y (m),Z (m),DX
-0.003861276,0.095807341,0.417630674,-3.18E-05
-0.003881066,0.095845497,0.163956675,9.24E-05
-0.003893645,0.11910839,0.402730551,-1.25E-05
-0.003897078,0.080289614,0.424944153,-3.95E-05
-0.00392335,0.12730544,0.384832273,2.05E-05
-0.003928942,0.126930924,0.395859969,-3.67E-06
-0.003933306,0.033715791,0.157205641,9.86E-05
-0.003944198,0.003253394,0.437037114,-3.84E-05
-0.003969405,0.095049773,0.380930385,3.97E-05
-0.003974904,0.010399276,0.437374768,-4.49E-05
-0.003990618,0.126926505,0.170254057,7.47E-05
-0.003995115,0.111334177,0.410122792,-2.21E-05
-0.004001418,0.018189835,0.437413222,-4.24E-05
-0.004024418,0.111574609,0.184176353,4.92E-05
-0.004033794,0.142474533,0.175898909,6.64E-05
-0.00404855,0.041488458,0.157215552,9.80E-05
-0.004049966,0.064765122,0.431502845,-4.41E-05
-0.004088529,0.025958754,0.43760105,-4.26E-05
-0.004120162,0.134740972,0.389834519,9.93E-06
-0.004167945,0.088052715,0.424947518,-3.84E-05
-0.004175799,0.049254984,0.157226481,9.81E-05
-0.004188722,0.103608449,0.163960638,9.05E-05
-0.004189358,0.103567877,0.417636523,-3.07E-05
-0.00420193,0.142555048,0.18065499,6.10E-05
-0.004213149,0.102884906,0.380953786,4.68E-05
-0.004220106,0.033692296,0.437782417,-4.29E-05
-0.004279876,0.072538165,0.431550382,-4.13E-05
-0.004294046,0.126874348,0.402730353,-1.16E-05
-0.004317715,0.041445212,0.437539745,-4.21E-05
-0.004320956,0.134821439,0.384734822,2.00E-05
-0.004337763,0.057019297,0.157200605,9.84E-05
-0.004349083,0.134671239,0.395837379,-3.18E-06
-0.004358065,0.111374146,0.381185921,3.82E-05
-0.004367166,0.119096515,0.410110158,-2.11E-05
-0.004370532,0.134679107,0.170365518,7.46E-05
-0.004401151,0.119404154,0.184212288,4.74E-05
-0.004418397,0.049236104,0.43730701,-4.12E-05
-0.004469654,0.095810564,0.424964348,-3.75E-05
-0.004504736,0.15024939,0.175928873,6.66E-05
-0.004523159,0.111378453,0.163927778,8.91E-05
-0.004535144,0.064783139,0.157154919,9.88E-05
-0.004538661,0.080310823,0.431602706,-4.11E-05
-0.00454154,0.111332977,0.417620236,-2.97E-05
-0.004555667,0.142369979,0.38978521,9.98E-06
-0.004569017,0.057014682,0.437286772,-3.90E-05
-0.004581697,0.150331912,0.180627326,6.11E-05
-0.004713456,0.134632837,0.40271137,-1.06E-05
-0.004740794,0.142263291,0.384615202,2.13E-05
-0.004741466,0.072547684,0.157168552,9.89E-05
-0.004767852,0.12685512,0.41009652,-2.01E-05
-0.004790156,0.142442638,0.170414416,7.59E-05
-0.004790448,0.064785399,0.437258653,-3.97E-05
-0.004795966,0.142389799,0.395814044,-2.49E-06
-0.004800755,0.103569577,0.424979326,-3.65E-05
