X (m),Y (m),Z (m),DX
-0.291943899,0.777989733,0.644909068,0.000290729
-0.28242681,0.774977528,0.6393038,0.000590435
-0.289956472,0.775023323,0.646860116,0.000602794
-0.299698846,0.777910357,0.652255017,0.000268352
-0.305603826,0.779767593,0.654083103,0.000595332
-0.31268225,0.789487848,0.632320363,0.000188918
-0.315377472,0.792855571,0.62240295,0.001713456
-0.305919464,0.783173607,0.646470645,0.000229322
-0.311617231,0.786700204,0.640948688,0.000453073
-0.361716374,0.805640415,0.62209714,0.001601909
-0.253640454,0.755026221,0.623318063,0.000496576
-0.262259987,0.760954912,0.629352238,0.000679164
-0.264757296,0.766428695,0.627916172,0.000338632
-0.241242195,0.746057039,0.613642599,0.000705479
-0.249902085,0.752357691,0.620534718,0.000400274
-0.247226229,0.746064602,0.622046632,0.000776505
-0.269112411,0.760691992,0.637476916,0.000629801
-0.271243421,0.766389069,0.635347299,0.000444766
-0.275780409,0.768751839,0.638322301,0.000469093
-0.311543973,0.781601536,0.655986128,0.000296146
-0.285175989,0.773067942,0.644069786,0.000471547
-0.29282047,0.773010517,0.651493578,0.000479456
-0.297726002,0.774879871,0.654140566,0.000525353
-0.305795081,0.774601667,0.661188647,0.000513395
-0.307685822,0.777720145,0.659425786,0.000280453
-0.377236687,0.809571409,0.622248936,0.001467668
-0.327785873,0.795813353,0.624841828,0.000784431
-0.320367761,0.789598398,0.639979642,0.00018262
-0.318900972,0.790903975,0.633804491,0.000408904
-0.311955942,0.784580372,0.648162375,0.000430874
-0.31798175,0.788219314,0.64232194,0.000225622
-0.313665328,0.783177621,0.654028902,0.000228908
-0.348378725,0.7986636,0.635245287,0.00084989
-0.361495936,0.801401436,0.637770652,0.001556421
-0.233907955,0.731260966,0.615624264,0.001679484
-0.254135493,0.746978774,0.63038366,0.000546665
-0.259701418,0.755067097,0.630938622,0.000370571
-0.256001207,0.752508943,0.628360463,0.000503274
-0.26532493,0.759584641,0.63407329,0.000205608
-0.241045927,0.738019173,0.620163355,0.001995317
-0.250528879,0.744352238,0.627853483,0.000403621
-0.267047255,0.754999218,0.639578733,0.000199772
-0.27233799,0.759505024,0.641945669,0.000255531
-0.278563104,0.766510239,0.643025356,0.000450194
-0.313527069,0.779611396,0.66138934,0.000615342
-0.276320196,0.760664338,0.645253811,0.00061134
-0.283241397,0.768823937,0.645912053,0.000461046
-0.290834296,0.768642035,0.653347437,0.000475445
-0.300707537,0.772708009,0.658639075,0.000424764
-0.308510405,0.772744624,0.665190052,0.000348213
-0.389970869,0.811963052,0.625250163,0.000704042
-0.377015297,0.80537827,0.637633642,0.001494801
-0.330240144,0.793107105,0.637401023,0.00161121
-0.319360716,0.786750517,0.648514526,0.000437442
-0.319758724,0.784566285,0.655629649,0.000426876
-0.319470024,0.781429715,0.663279386,0.000293842
-0.343230013,0.795869662,0.640326779,0.000783191
-0.35899601,0.795555069,0.65576807,0.000750534
-0.364137454,0.798396167,0.650704157,0.000791949
-0.228202602,0.71844368,0.618606146,0.002939289
-0.256501595,0.744318279,0.635448212,0.000551911
-0.263237874,0.753768581,0.636129179,0.000669295
-0.260901742,0.747357757,0.638364549,0.000550657
-0.246708394,0.733924236,0.631285447,0.002851535
-0.269547705,0.752975732,0.643833086,0.000736189
-0.267540234,0.747297611,0.646005191,0.000430792
-0.314165482,0.774768555,0.668034096,0.000723156
-0.315290314,0.777824935,0.66580025,0.000179195
-0.320216591,0.776529562,0.671051849,0.000174411
-0.274559939,0.755826706,0.64710554,9.23E-05
-0.293699538,0.76614405,0.657928513,0.000467115
-0.279608048,0.759478548,0.649549258,0.000281544
-0.286035705,0.766410837,0.650556242,0.000454445
-0.298667247,0.76834067,0.660573163,0.000451876
-0.307165601,0.768174136,0.667990921,0.000659664
-0.392553559,0.809182503,0.637769429,0.001462398
-0.405526793,0.811613493,0.640334166,0.000710856
-0.125960918,0.59071925,0.547618428,0.00014391
-0.377041414,0.800973322,0.653079285,0.001519733
-0.321594914,0.783097706,0.661334503,0.000211372
-0.330931136,0.788859792,0.65245815,0.001649326
-0.321105844,0.779223018,0.668141515,0.00042778
-0.34611814,0.792966277,0.652909284,0.00157913
-0.361611303,0.792387949,0.668142391,0.00161374
-0.364547343,0.789054443,0.680649933,0.000197213
-0.171668556,0.653565447,0.586861481,0.000527363
-0.366133437,0.787378106,0.686503153,0.000439684
-0.366972824,0.790511213,0.678332289,0.000206434
-0.215406394,0.700083242,0.616395143,0.001516601
-0.176905726,0.658712505,0.59184564,0.000518988
-0.222328468,0.705753249,0.621760051,0.001263713
-0.234224262,0.715139516,0.630474007,0.00131613
-0.253741208,0.736588334,0.638207601,0.00096716
-0.263468347,0.744678479,0.643431987,0.000575004
-0.241461264,0.720534178,0.635588317,0.002004708
-0.272815997,0.750758225,0.649064546,8.03E-05
-0.27217835,0.745735904,0.652152541,0.000922841
-0.311908256,0.770195275,0.670355232,6.52E-05
-0.316785728,0.772172546,0.672607759,0.000136949
-0.321681524,0.773621491,0.674876938,0.000542103
-0.277388908,0.753278077,0.651911316,0.000766551
-0.287092463,0.759275949,0.657041196,0.000264682
-0.291442712,0.76031802,0.660320215,0.000587353
-0.283772706,0.760558187,0.652857729,0.000590635
-0.294832469,0.759083387,0.664393448,0.000229146
-0.301280231,0.766057672,0.664629516,0.000350416
-0.3046659,0.76296087,0.670055562,7.93E-05
-0.30964382,0.765473979,0.672259767,0.000143015
-0.39252911,0.804821455,0.653009679,0.001487254
-0.375265709,0.794682715,0.672127112,0.000781527
-0.408088934,0.808572482,0.65297132,0.001493176
-0.421131311,0.810871533,0.655539651,0.000745053
-0.134459248,0.605188288,0.554200683,8.52E-05
-0.136478793,0.607737832,0.55673506,6.58E-05
-0.161041509,0.6305489,0.591757573,0.000153311
-0.122692619,0.583205386,0.547591485,0.000127439
-0.127559086,0.589654266,0.553968081,7.18E-05
-0.119558161,0.575583817,0.547545599,0.000130128
-0.372479903,0.788614782,0.688081422,0.000208916
-0.379769467,0.797820165,0.665811707,0.000758683
-0.373378944,0.791769905,0.679612218,0.000390684
-0.374903683,0.790080993,0.685768659,0.000195109
-0.328470999,0.784590448,0.663131207,0.000529075
-0.335862198,0.786010836,0.665479246,0.000556299
-0.328259059,0.781380271,0.669940282,0.00061801
-0.346461726,0.788345204,0.667617336,0.001680618
-0.358188901,0.787829642,0.679089189,0.000401525
-0.358754477,0.785341922,0.68585416,0.000455007
-0.165692284,0.640958339,0.589475429,0.000789743
-0.176710161,0.646010663,0.606895858,0.000209037
-0.204547259,0.683492654,0.615756513,0.00073834
-0.3664777,0.785003874,0.692731054,0.000378053
-0.32776669,0.775457843,0.677682855,0.000491029
-0.330037997,0.778834051,0.675557049,0.000352181
-0.211161923,0.688937808,0.620910126,0.001313153
-0.18158526,0.656331189,0.604493067,0.000978469
-0.164119649,0.628967186,0.60029856,0.000134965
-0.16147258,0.62259718,0.601541029,6.79E-05
-0.166470653,0.627640467,0.606469781,5.48E-05
-0.228413866,0.70252417,0.63370477,0.002327207
-0.259791298,0.73440905,0.647051838,0.002843413
-0.246117824,0.715410763,0.645888686,0.001910871
-0.2678032,0.737041517,0.654095094,0.00086731
-0.278471297,0.746586659,0.658063349,0.000793015
-0.313163844,0.761859076,0.677978905,0.000312213
-0.320507239,0.768889118,0.678143512,0.000320657
-0.314464883,0.767345655,0.674663892,0.000668369
-0.28640904,0.749381024,0.664092758,0.002936263
-0.299837482,0.760819669,0.667508224,0.000661448
-0.307687204,0.76033603,0.674629847,0.000671552
-0.302502098,0.758031119,0.672005816,0.000107004
-0.392508869,0.800146139,0.668476543,0.001477863
-0.381093991,0.793737531,0.679696006,0.000405414
-0.381181804,0.791189721,0.687326857,0.000394668
-0.387784786,0.789842168,0.696109073,0.000172742
-0.407939965,0.803833901,0.668573313,0.001534469
-0.423646302,0.807545938,0.668443681,0.001474735
-0.116490466,0.567816517,0.547457643,0.000127902
-0.129501651,0.592209911,0.556509741,6.51E-05
-0.13191786,0.598622053,0.555333733,0.000155376
-0.137857451,0.606180685,0.56288974,0.000135535
-0.141366702,0.613664299,0.562847365,0.000163462
-0.146055864,0.612751354,0.576714408,0.000275913
-0.156430101,0.62351435,0.589256791,0.000430906
-0.120966912,0.57412718,0.553664933,5.98E-05
-0.125142083,0.583176664,0.555113008,0.000142686
-0.156580079,0.613735534,0.600273023,0.000114533
-0.169076915,0.630180872,0.608977602,7.10E-05
-0.163995875,0.621399951,0.607823818,0.000111248
-0.184849504,0.644647951,0.623267095,0.000143874
-0.192498476,0.658654337,0.621844476,0.000449321
-0.765211855,0.841528748,0.731114006,0.000533866
-0.38151228,0.788759907,0.694452854,0.000370912
-0.373973969,0.786764121,0.694049486,0.000468305
-0.335504036,0.78232194,0.674111375,0.000970847
-0.350471964,0.785757796,0.678371864,0.000904874
-0.360414718,0.783874503,0.690541819,0.000152693
-0.180512324,0.644608123,0.615673809,0.000172731
-0.169805166,0.637418822,0.602572835,0.000495914
-0.177307651,0.637927612,0.616647835,8.91E-05
-0.19857798,0.671104615,0.618905374,0.001253035
-0.365534973,0.783180936,0.695702344,0.000150061
-0.330694152,0.773080774,0.682231366,0.000439479
-0.338179674,0.77825563,0.682676341,0.00034789
-0.336030772,0.774774495,0.684592629,0.000446097
-0.205734216,0.661198242,0.640345476,6.75E-05
-0.215033924,0.684275417,0.631564711,0.00108226
-0.18616651,0.652358576,0.617583677,0.000404694
-0.159016954,0.620045883,0.59903539,5.85E-05
-0.222391761,0.689938675,0.636924283,0.000965018
-0.233853625,0.699627403,0.643824267,0.000571553
-0.255060733,0.721408105,0.651775092,0.001866084
-0.241096064,0.702265804,0.650681176,0.001827672
-0.272663327,0.732865883,0.66231657,0.00285917
-0.28337273,0.738622455,0.669033625,0.0004356
-0.2934265,0.744963129,0.673800677,0.000682682
-0.315627883,0.759346221,0.681964106,0.00043543
-0.323120922,0.766581323,0.682042594,0.000445681
-0.320830677,0.761619403,0.684297421,0.000454454
-0.303321839,0.75049659,0.678348708,0.002948755
-0.390186095,0.791270279,0.693867888,0.00020848
-0.392538065,0.795132415,0.684176945,0.001516308
-0.389475529,0.788188213,0.701735601,0.000381445
-0.410449308,0.800359267,0.681537326,0.000787279
-0.47022419,0.817807498,0.668511872,0.001494578
-0.441845646,0.812433354,0.665913692,0.000651875
-0.436779969,0.809764558,0.670893805,0.000732997
-0.423539706,0.802653797,0.683920167,0.001486836
-0.485966006,0.821299051,0.668079857,0.001507394
-0.47281483,0.814240899,0.681452715,0.00069727
-0.213315582,0.645994766,0.664009344,1.41E-05
-0.216386492,0.645420139,0.668305737,1.20E-05
-0.11447515,0.561522142,0.548653526,6.09E-05
-0.11897501,0.567836104,0.554976519,0.000120542
-0.131002116,0.590899381,0.562798934,0.000127333
-0.134371659,0.598550314,0.562856687,0.000142187
-0.141466983,0.60810986,0.570356378,0.000288574
-0.150164798,0.610432876,0.589279141,0.000462956
-0.12891586,0.584843595,0.564122659,5.60E-05
