X (m),Y (m),Z (m),CdX
-0.003010956,0.005207365,0.380335072,3.28E-05
-0.003015813,0.064477416,0.163623266,0.000774179
-0.003036192,0.103391262,0.169845521,0.000682762
-0.003052739,0.087758156,0.409845863,0.000766819
-0.003076513,0.080068618,0.18435344,0.000416088
-0.003082055,0.072226454,0.417386282,0.000751749
-0.003084913,0.048725712,0.380373005,0.000357972
-0.003097119,0.048930967,0.424654536,0.000698697
-0.003118961,0.003113901,0.430465854,0.000474321
-0.003147752,0.032209533,0.380595422,0.000409656
-0.003148126,0.04033241,0.380508431,0.000436289
-0.003163492,0.103798548,0.383552877,0.000563663
-0.003187548,0.111225253,0.395249733,0.000731084
-0.003189646,0.1047142,0.401101933,0.000365145
-0.003207345,0.126674493,0.180325192,0.000473733
-0.003209539,0.102095034,0.403540939,0.000380017
-0.003209717,0.010106872,0.431078214,0.000603932
-0.003213193,0.072245963,0.163660213,0.000760937
-0.003254594,0.126617381,0.175701359,0.000585754
-0.003267847,0.056696769,0.424663252,0.00070543
-0.003296392,0.017859592,0.431465067,0.000610997
-0.003321078,0.079981496,0.417388665,0.00075568
-0.00332312,0.11899872,0.388810996,0.00063024
-0.003330226,0.111095457,0.170014175,0.000702713
-0.003340637,0.095511775,0.409818171,0.000769847
-0.003343906,0.116750393,0.384700361,0.000130104
-0.003384319,0.025610484,0.431591777,0.00061003
-0.00338433,0.000792985,0.186411471,8.89E-06
-0.003387305,0.087901851,0.184309237,0.000451166
-0.00341126,0.056842883,0.380202424,0.000370288
-0.003454488,0.080005103,0.163614682,0.000743049
-0.003468825,0.064451037,0.424737764,0.000715704
-0.003489735,0.033372078,0.431705048,0.000646169
-0.00355012,0.064583235,0.38024983,0.000389834
-0.003556456,0.111120167,0.402439878,0.000775188
-0.003558789,0.119039096,0.395255262,0.000736051
-0.003577726,0.121133786,0.384737703,0.000157437
-0.003584599,0.008795807,0.157784283,0.000370945
-0.003590831,0.134400642,0.180183007,0.000475862
-0.003597901,0.08773688,0.4173743,0.000756934
-0.003604173,0.041143143,0.431638446,0.000648209
-0.003655289,0.118836671,0.170150733,0.000703034
-0.00366579,0.103238062,0.409827595,0.000764299
-0.003676423,0.134374715,0.175583322,0.00058418
-0.003678183,0.072205463,0.42469195,0.000709068
-0.003701395,0.087767194,0.16362694,0.000752211
-0.003702442,0.111408361,0.383817214,0.000472006
-0.003718162,0.12695472,0.388951233,0.000608747
-0.003728079,0.04892893,0.431393661,0.000633575
-0.003732211,0.095718612,0.184387603,0.000472253
-0.003802816,0.072269261,0.380287278,0.000409492
-0.003813657,0.116153344,0.382386688,0.000106103
-0.003845095,0.003103125,0.156849771,0.000598299
-0.003881652,0.003120587,0.436298415,0.000436405
-0.003891706,0.095488791,0.41735524,0.000757687
-0.003907188,0.056695059,0.431493596,0.000641229
-0.003916953,0.140863213,0.179332009,0.000235165
-0.003919971,0.079958974,0.424707329,0.000711113
-0.003920124,0.010123327,0.43688688,0.000523099
-0.003926093,0.103491693,0.184382399,0.000472043
-0.003938074,0.118976401,0.402476145,0.000765261
-0.003952789,0.017855584,0.156582563,0.000749094
-0.003957112,0.12684123,0.395330439,0.000731219
-0.003970996,0.095529538,0.163679766,0.000744462
-0.003981837,0.102001067,0.164775507,0.000356225
-0.003997242,0.112304,0.408640392,0.000392965
-0.004014608,0.025627649,0.156642318,0.00075801
-0.004015737,0.017871307,0.437199729,0.000500359
-0.004043275,0.126571809,0.170149691,0.000680958
-0.004046465,0.109669012,0.411122803,0.000381562
-0.004093059,0.121187905,0.382458265,0.000203669
-0.00409481,0.033402146,0.156684236,0.000760922
-0.004097974,0.080159446,0.380182231,0.000382368
-0.004107002,0.025605882,0.437280305,0.00049444
-0.004114146,0.111281659,0.184287107,0.000455862
-0.004115048,0.064420741,0.431590434,0.000637228
-0.004119783,0.1421379,0.175519984,0.000562443
-0.004130557,0.127191973,0.38384028,0.000482406
-0.004171887,0.015956449,0.186753018,9.38E-05
-0.004176855,0.134741583,0.389165841,0.000597217
-0.004181522,0.01138292,0.155577904,0.000372409
-0.004188518,0.019838205,0.186725067,9.55E-05
