X (m),Y (m),Z (m),DX
-0.001963778,0.080473903,0.395705165,0.000333016
-0.001967387,0.010388749,0.417553869,0.000330861
-0.001972658,0.02594143,0.184095912,0.000247406
-0.001995151,0.003281789,0.184288773,0.000201687
-0.00200783,0.087967209,0.389511479,0.000276335
-0.002022773,0.018146407,0.417581096,0.000334871
-0.002065889,0.072823335,0.383922319,0.000294206
-0.002078143,0.009552603,0.381078929,0.000174442
-0.002079003,0.072626404,0.402807424,0.00034766
-0.00208872,0.033757603,0.184151346,0.000227637
-0.0020965,0.017092588,0.380970853,0.00018234
-0.002096554,0.010394733,0.163803224,0.000396306
-0.002114362,0.025917089,0.417611885,0.000333925
-0.00211501,0.018164393,0.163991333,0.000407399
-0.002115428,0.095939993,0.180426924,0.000274513
-0.002122064,0.057006472,0.410148006,0.000344812
-0.002132471,0.003254518,0.163612331,0.000322191
-0.002149392,0.080266564,0.17001649,0.000348098
-0.002182279,0.02592955,0.164052473,0.000412188
-0.002193762,0.041543793,0.184163127,0.000229425
-0.002207539,0.080339712,0.384073796,0.00022904
-0.002221727,0.033693598,0.417653236,0.000334024
-0.002224151,0.088104505,0.395676277,0.000328305
-0.002256674,0.025331299,0.380952628,0.00018244
-0.00226125,0.103652605,0.175597599,0.000302266
-0.002279082,0.033691847,0.164034893,0.000410995
-0.002293912,0.09558542,0.389548613,0.000271462
-0.002317836,0.064778131,0.410157447,0.000346161
-0.002318179,0.080382347,0.402785718,0.000348486
-0.002336732,0.041460617,0.417660875,0.000336399
-0.002340541,0.049361265,0.18426061,0.000230999
-0.002377962,0.103706971,0.18034365,0.000270883
-0.002389136,0.087401376,0.384170143,0.000266798
-0.002393676,0.003156396,0.38060887,0.000163825
-0.002402839,0.088071129,0.170074412,0.000347238
-0.002410367,0.041464213,0.16398423,0.000405205
-0.002465348,0.057139532,0.184314383,0.000223704
-0.002478828,0.049222808,0.417637569,0.000337887
-0.002507494,0.09577291,0.395577086,0.000330207
-0.002529089,0.003256311,0.424606561,0.000251103
-0.002536486,0.072547604,0.410162941,0.000349474
-0.002563603,0.111422338,0.175611259,0.000293028
-0.002571032,0.049238904,0.163909495,0.000396754
-0.002578674,0.103380753,0.389524759,0.000270458
-0.002580779,0.010393126,0.424856451,0.000306999
-0.002584241,0.088091506,0.402726302,0.000350557
-0.002584385,0.048147532,0.38132795,0.000118442
-0.002586604,0.095053558,0.384570146,0.000245088
-0.00263951,0.11147872,0.180243665,0.000264473
-0.002643389,0.018157386,0.424965165,0.000312586
-0.002649681,0.05698592,0.417616338,0.000340156
-0.00265732,0.04131636,0.381158792,0.000224474
-0.002675766,0.095861725,0.170130276,0.000348444
