H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
8.83881,0,0,0,0,1.836432,-0.659349,0.0071725,0.0710775,-0.002279559,0.035939811,-0.05316272
6.87681,0,0,0,0,1.428336,-0.528778,0.0038995,0.0800565,0.0016003,0.031940442,-0.042366584
4.89519,0,0,0,0,1.02228048,-0.37984,0.0020915,0.0558545,0.000768007,0.02196661,-0.031132504
2.93319,0,0,0,0,0.612144,-0.22827,-0.0002885,0.0293175,-0.000341919,0.011490683,-0.01932892
0.981,0,0,0,0,0.204048,-0.078707,-0.0041195,-0.0045065,-0.002422592,-0.000228607,-0.00737048
0,3.924,3.93381,0,0,0,-0.011753,0.287724,-0.206959,-0.021556004,-0.013693075,-0.002301832
0,7.848,7.848,0,0,0,-0.015694,0.581004,-0.439053,-0.042542887,-0.028745827,-0.002789696
0,11.78181,11.79162,0,0,0,-0.017264,0.877266,-0.691671,-0.066405622,-0.047432363,-0.00316368
0,15.77448,15.78429,0,0,0,-0.018811,1.178782,-0.930402,-0.096801747,-0.062079886,-0.003503032
0,19.62,19.63962,0,0,0,-0.017066,1.468119,-1.176191,-0.11682716,-0.081764815,-0.005121584
0,23.55381,23.55381,0,0,0,-0.016916,1.766974,-1.415492,-0.140166685,-0.097057114,-0.006036784
0,27.51705,27.52686,0,0,0,-0.017672,2.064828,-1.650164,-0.154313385,-0.109435018,-0.007336576
0,31.50972,31.50972,0,0,0,-0.02055,2.370679,-1.893235,-0.177281528,-0.123001307,-0.007523984
0,29.43981,29.43981,0,0,0,-0.020265,2.215615,-1.768918,-0.167148322,-0.114363964,-0.006984328
0,25.63353,25.63353,0,0,0,-0.018571,1.930627,-1.539703,-0.151669253,-0.099492415,-0.006011096
0,21.65067,21.66048,0,0,0,-0.017402,1.629677,-1.301849,-0.123838814,-0.082558817,-0.005109104
0,17.658,17.68743,0,0,0,-0.015101,1.331314,-1.085903,-0.109138537,-0.077792187,-0.003874936
0,13.734,13.734,0,0,0,-0.013455,1.034521,-0.828226,-0.082319575,-0.055898414,-0.003155672
0,9.81981,9.82962,0,0,0,-0.011151,0.7402,-0.579344,-0.055331913,-0.037043204,-0.002392936
0,5.93505,5.93505,0,0,0,-0.006474,0.451232,-0.353731,-0.034624229,-0.023592107,-0.001532544
0,1.962,1.962,0,0,0,-0.002047,0.152686,-0.105363,-0.010880668,-0.005679751,-0.000551304
0,3.924,0,0.945684,0,0,-0.0121525,0.3161995,-0.2036,-0.061871508,-0.010076495,0.002970188
0,7.85781,0,1.89373221,0,0,0.0151605,0.6139875,-0.463867,-0.131013926,-0.02957779,-0.00025974
0,11.81124,0,2.8606941,0,0,0.0201795,0.9132185,-0.706627,-0.198736252,-0.045480644,-0.0010569
0,15.7941,0,3.782736,0,0,0.0175565,1.2244595,-0.944619,-0.264313075,-0.062131124,0.00031746
0,19.62981,0,4.72842,0,0,0.0332755,1.5018415,-1.174478,-0.329419345,-0.075743041,-0.003797716
0,23.544,0,5.75212293,0,0,0.0536625,1.8041855,-1.440184,-0.39946467,-0.093672601,-0.005258604
0,27.51705,0,6.619788,0,0,0.0539395,2.1108885,-1.657961,-0.462071529,-0.107142772,-0.004859556
0,31.4901,0,7.57020042,0,0,0.0742505,2.4176705,-1.89077,-0.527820547,-0.121497079,-0.007092124
0,29.43,0,7.10208684,0,0,0.0570495,2.2571815,-1.764794,-0.493110401,-0.112258905,-0.005809284
0,25.62372,0,6.146946,0,0,0.0494415,1.9625075,-1.527127,-0.428612656,-0.096972216,-0.005486676
0,21.66048,0,5.23908936,0,0,0.0360935,1.6644255,-1.314195,-0.365386306,-0.08509622,-0.003083652
0,17.66781,0,4.255578,0,0,0.0342495,1.3543355,-1.064827,-0.297682537,-0.068998138,-0.00355186
0,13.734,0,3.31462242,0,0,0.0268355,1.0631855,-0.825459,-0.230667547,-0.053277048,-0.001174212
0,9.81981,0,2.36421,0,0,-0.0002185,0.7565285,-0.58745,-0.162827493,-0.038020279,0.000228124
0,5.93505,0,1.418526,0,0,0.0309465,0.4548915,-0.345474,-0.099387135,-0.020930723,-0.004153708
0,1.97181,0,0.472842,0,0,-0.0098375,0.1562765,-0.119202,-0.033693668,-0.008228187,0.001292564
0,3.924,0,0,1.467576,0,-0.0131385,0.2953945,-0.1501475,-0.025100994,0.028589214,-0.001544972
0,7.848,0,0,2.935152,0,-0.0154255,0.5859575,-0.2895075,-0.047938033,0.060093853,-0.002332564
0,11.81124,0,0,4.4394174,0,-0.0189925,0.8825795,-0.4562135,-0.072704519,0.091905544,-0.002582892
0,15.77448,0,0,5.870304,0,-0.0245215,1.1866275,-0.6094955,-0.096610634,0.119484305,-0.002326948
0,19.62,0,0,7.33788,0,-0.0294505,1.4756715,-0.7561255,-0.120269363,0.150114531,-0.00305214
0,23.544,0,0,8.83480752,0,-0.0353785,1.7748315,-0.9157025,-0.142189036,0.179696622,-0.003395756
0,27.50724,0,0,10.273032,0,-0.0386135,2.0706835,-1.0579505,-0.166372302,0.213701076,-0.005541588
0,31.4901,0,0,11.80664892,0,-0.0403025,2.3711355,-1.2272655,-0.191553428,0.243452589,-0.007143708
0,29.43,0,0,11.00682,0,-0.0347985,2.2137845,-1.1427055,-0.17904613,0.227062039,-0.007085468
0,25.62372,0,0,9.539244,0,-0.0314435,1.9281245,-0.9897765,-0.15504012,0.19692568,-0.005743972
0,21.70953,0,0,8.13037104,0,-0.0267695,1.6325505,-0.8429865,-0.132428898,0.167920484,-0.004665908
0,17.658,0,0,6.604092,0,-0.0216485,1.3273225,-0.6843525,-0.10784015,0.13596555,-0.003601676
0,13.734,0,0,5.136516,0,-0.0176115,1.0320105,-0.5236235,-0.082695776,0.108009237,-0.002941588
0,9.81,0,0,3.66894,0,-0.0110905,0.7372855,-0.3676865,-0.059110311,0.077032873,-0.002154828
0,5.92524,0,0,2.201364,0,-0.0054315,0.4481325,-0.2199395,-0.035970696,0.046346361,-0.001268228
0,1.962,0,0,0.733788,0,0.0001655,0.1509935,-0.0658475,-0.011163964,0.017191938,-0.000508716
0,3.924,0,0,0,0.816192,-0.01463,0.311965,-0.0044825,-0.024477406,-0.001540039,-0.023915944
0,7.848,0,0,0,1.632384,-0.02241,0.611071,-0.0003925,-0.047700166,-0.00087544,-0.049282584
0,11.772,0,0,0,2.4689808,-0.028524,0.910927,-0.0001085,-0.071028966,-0.000945005,-0.074976824
0,15.73524,0,0,0,3.264768,-0.018532,1.21382,-0.0028345,-0.095212955,-0.000862725,-0.09851972
0,19.62,0,0,0,4.08096,-0.000981,1.510062,-0.0021745,-0.118714311,-0.000256097,-0.122787392
0,23.544,0,0,0,4.90327344,0.017745,1.818889,-0.0014245,-0.142703571,0.000645243,-0.145005744
0,27.50724,0,0,0,5.713344,0.039315,2.123961,-0.0021535,-0.166899489,0.001203439,-0.168259104
0,31.47048,0,0,0,6.529536,0.057659,2.438524,0.0016105,-0.19015141,0.002610426,-0.190389264
0,29.43,0,0,0,6.12144,0.056937,2.254063,-0.0063265,-0.178657156,0.000934345,-0.183401712
0,25.506,0,0,0,5.30932896,0.037394,1.956665,-0.0028325,-0.154944082,0.000883481,-0.159234088
0,21.66048,0,0,0,4.52170368,0.019271,1.669173,0.0028985,-0.132207057,0.001512362,-0.135716048
0,17.66781,0,0,0,3.672864,0.003722,1.362318,-0.0022965,-0.107515041,-0.000103131,-0.111676136
0,13.734,0,0,0,2.85871248,-0.010607,1.06473,0.0017255,-0.083280683,-1.34E-05,-0.0872664
0,9.81,0,0,0,2.04048,-0.010599,0.760458,0.0050865,-0.059334923,0.000510043,-0.063554816
0,5.92524,0,0,0,1.22836896,-0.001195,0.461266,0.0087445,-0.035616908,0.001173145,-0.03883256
0,1.962,0,0,0,0.408096,0.00477,0.154309,0.0135515,-0.011123958,0.002342081,-0.013816296
0,0,3.924,0.945684,0,0,-0.001787,0.014695,-0.480502,-0.041731138,-0.035368619,0.002100696
0,0,7.848,1.891368,0,0,0.038016,0.018175,-0.949317,-0.080797841,-0.06505356,-0.002362672
0,0,11.81124,2.837052,0,0,0.034668,0.029544,-1.42757,-0.121195345,-0.095699307,-0.00067288
0,0,15.696,3.782736,0,0,0.032396,0.044656,-1.907307,-0.162124375,-0.126989456,0.001548768
0,0,19.62,4.72842,0,0,0.041565,0.046677,-2.383229,-0.197304832,-0.15686121,0.000276952
0,0,23.544,5.69301768,0,0,0.048681,0.057012,-2.862026,-0.245381922,-0.184903543,0.000552136
0,0,27.468,6.619788,0,0,0.057528,0.079153,-3.344295,-0.279208923,-0.217123456,0.002648464
0,0,31.44105,7.565472,0,0,0.066731,0.081613,-3.818723,-0.316468849,-0.24263437,0.001362088
0,0,29.43,7.09263,0,0,0.070525,0.077868,-3.599413,-0.300267383,-0.235726964,0.00070668
0,0,25.49619,6.14931021,0,0,0.054466,0.063922,-3.111003,-0.2652349,-0.202154106,0.000834912
0,0,21.66048,5.201262,0,0,0.046593,0.047462,-2.636955,-0.219108343,-0.17204748,-0.000341224
0,0,17.658,4.255578,0,0,0.046293,0.036163,-2.150267,-0.180001755,-0.138650028,-0.001566552
0,0,13.734,3.31225821,0,0,0.035202,0.034973,-1.673619,-0.142020878,-0.108397168,0.000340704
0,0,9.81,2.36421,0,0,0.03262,0.027442,-1.199207,-0.100532849,-0.07881115,2.70E-05
0,0,5.92524,1.418526,0,0,0.014363,0.020954,-0.719325,-0.059965439,-0.04647137,0.001410136
0,0,1.962,0.472842,0,0,-0.010765,0.009444,-0.241914,-0.019672288,-0.015459477,0.0027898
0,0,3.924,0,1.467576,0,-0.010336,0.001572,-0.386687,0.000955204,0.012334707,0.000186368
0,0,7.848,0,2.935152,0,-0.015844,0.003488,-0.779377,0.003186502,0.025229479,0.000251888
0,0,11.80143,0,4.402728,0,-0.021906,0.005917,-1.166603,0.000767344,0.041864625,0.000502528
0,0,15.70581,0,5.870304,0,-0.029426,0.007899,-1.555199,0.005463952,0.056264373,0.000523744
0,0,19.62,0,7.33788,0,-0.036727,0.010196,-1.960425,0.008815539,0.068827407,0.000716456
0,0,23.544,0,8.83480752,0,-0.042075,0.01421,-2.369634,-0.000387046,0.07982469,0.001134536
0,0,27.468,0,10.273032,0,-0.04983,0.014546,-2.75839,0.012916757,0.100005356,0.000914576
0,0,31.40181,0,11.740608,0,-0.056027,0.016158,-3.161035,0.018051021,0.116062859,0.000956904
0,0,29.43,0,11.00682,0,-0.052146,0.015024,-2.963576,0.015247468,0.107247118,0.000875472
0,0,25.54524,0,9.539244,0,-0.044194,0.012815,-2.564599,0.013107749,0.093422769,0.000742352
0,0,21.66048,0,8.071668,0,-0.03657,0.010621,-2.185756,0.010785232,0.070219248,0.0005616
0,0,17.658,0,6.604092,0,-0.02847,0.009167,-1.776364,0.004856391,0.061304584,0.00052312
0,0,13.734,0,5.14752282,0,-0.020841,0.007528,-1.376074,0.001704834,0.050307862,0.000270296
0,0,9.81,0,3.66894,0,-0.013056,0.004336,-0.985403,0.004830122,0.032878901,-5.10E-05
0,0,5.886,0,2.201364,0,-0.005961,0.002153,-0.589167,0.002374814,0.019649773,-0.000218088
0,0,1.962,0,0.733788,0,-9.60E-05,-0.00013,-0.185061,0.001688205,0.009716707,-0.000334672
0,0,3.924,0,0,0.816192,-0.010358,0.0172635,-0.23718,0.002290645,-0.016441601,-0.022178832
0,0,7.848,0,0,1.632384,-0.017261,0.0263125,-0.463745,0.002998462,-0.027003174,-0.047048456
0,0,11.82105,0,0,2.448576,-0.027306,0.0319825,-0.712689,0.00640343,-0.045024364,-0.072919392
0,0,15.696,0,0,3.264768,-0.020786,0.0417715,-0.95066,0.005974571,-0.060981261,-0.097057792
0,0,19.62,0,0,4.08096,-0.00728,0.0525435,-1.189932,0.007872566,-0.075572871,-0.120386656
0,0,23.55381,0,0,4.91347584,0.005491,0.0638295,-1.435345,0.008691966,-0.092214936,-0.145037672
0,0,27.468,0,0,5.713344,0.020969,0.0727395,-1.683838,0.0057743,-0.109650255,-0.168621752
0,0,31.41162,0,0,6.53361696,0.036163,0.0787935,-1.906119,0.021514251,-0.11538648,-0.193363352
0,0,29.43,0,0,6.12144,0.027723,0.0760395,-1.80569,0.015941487,-0.118699185,-0.180791208
0,0,25.506,0,0,5.305248,0.015008,0.0622795,-1.576191,0.011470094,-0.109479524,-0.157588912
0,0,21.67029,0,0,4.49109648,0.001409,0.0534855,-1.336799,0.002974844,-0.093905416,-0.133653416
0,0,17.658,0,0,3.672864,-0.011976,0.0421765,-1.089621,0.005370022,-0.078002188,-0.109925088
0,0,13.734,0,0,2.86075296,-0.021698,0.0321785,-0.837914,0.000150926,-0.056819389,-0.08691384
0,0,9.81,0,0,2.04048,-0.019978,0.0213725,-0.596612,0.005110947,-0.042111091,-0.062523968
0,0,5.886,0,0,1.224288,-0.011295,0.0099835,-0.351519,0.002700827,-0.024333936,-0.037867336
0,0,1.962,0,0,0.408096,-0.002703,-0.0039565,-0.116709,0.00012285,-0.008548518,-0.013856856
0,0,0,1.891368,0,1.632384,0.0410625,0.033421,-0.4753985,-0.083311109,-0.029869978,-0.05240742
0,0,0,2.8606941,0,2.4689808,0.0299215,0.057074,-0.7278385,-0.125697105,-0.04624856,-0.074620052
0,0,0,3.782736,0,3.264768,0.0499075,0.073317,-0.9578405,-0.165420171,-0.059970994,-0.096546996
0,0,0,4.7520621,0,4.1013648,0.0762095,0.096426,-1.1933825,-0.207211258,-0.07387968,-0.119442388
0,0,0,5.69301768,0,4.91347584,0.1097985,0.111347,-1.4320175,-0.248270307,-0.088210424,-0.1433211
0,0,0,6.619788,0,5.713344,0.1511535,0.114087,-1.6427565,-0.288589607,-0.097820916,-0.169717236
0,0,0,7.565472,0,6.529536,0.1793905,0.135654,-1.8717735,-0.329697218,-0.110175445,-0.192237708
0,0,0,7.09263,0,6.12144,0.1551605,0.135773,-1.7764575,-0.310884276,-0.107597837,-0.177983676
0,0,0,6.146946,0,5.305248,0.1184895,0.119633,-1.5372225,-0.269588444,-0.093279434,-0.154382228
0,0,0,5.23908936,0,4.50129888,0.1000315,0.09395,-1.3149165,-0.229865619,-0.080837575,-0.133760068
0,0,0,4.255578,0,3.672864,0.0745575,0.07255,-1.0693455,-0.18710752,-0.066655683,-0.110967636
0,0,0,3.309894,0,2.856672,0.0164155,0.055037,-0.8339305,-0.143739088,-0.052420307,-0.084374628
0,0,0,2.36421,0,2.04048,0.0286795,0.047632,-0.5951105,-0.103407376,-0.038480206,-0.061561188
0,0,0,1.41379758,0,1.22020704,0.0125085,0.030892,-0.3557515,-0.062179868,-0.023303473,-0.035935276
0,0,0,0.472842,0,0.408096,-0.0064655,0.008173,-0.1163075,-0.021127084,-0.008047638,-0.011351756
0,0,0,0,1.467576,0.816192,-0.0181255,0.011029,-0.1354595,0.002195932,0.030937,-0.023124764
0,0,0,0,2.935152,1.632384,-0.0260045,0.021871,-0.2936265,0.002181954,0.059469273,-0.047361652
0,0,0,0,4.402728,2.45265696,-0.0344095,0.033836,-0.4491835,0.00254972,0.089270528,-0.07227766
0,0,0,0,5.870304,3.264768,-0.0409865,0.043957,-0.6037615,0.002903146,0.11920474,-0.097381908
