H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
0,23.544,23.86773,-5.978859949,0.42961914,-0.043109064,0.0536625,1.8041855,-1.440184,-0.401211666,-0.067749289,-0.005355196
0,27.51705,27.468,-6.883905573,0.494424,-0.050383719,0.0539395,2.1108885,-1.657961,-0.464079355,-0.077299474,-0.004956647
0,31.4901,31.41162,-7.872406534,0.56540916,-0.057658373,0.0742505,2.4176705,-1.89077,-0.530106985,-0.087463219,-0.007225775
0,29.43,29.46924,-7.384754613,0.53044632,-0.05388633,0.0570495,2.2571815,-1.764794,-0.495238999,-0.080492613,-0.005911973
0,25.62372,25.506,-6.392742221,0.459108,-0.046917031,0.0494415,1.9625075,-1.527127,-0.430453781,-0.06948393,-0.005575671
0,21.66048,21.73896,-5.447235115,0.39130128,-0.039660339,0.0360935,1.6644255,-1.314195,-0.366978635,-0.06144071,-0.00314862
0,17.66781,17.658,-4.425204083,0.317844,-0.03234976,0.0342495,1.3543355,-1.064827,-0.298972958,-0.049831252,-0.003613509
0,13.734,13.75362,-3.446536744,0.24756516,-0.025146954,0.0268355,1.0631855,-0.825459,-0.231666873,-0.038418786,-0.001222516
0,9.81981,9.81,-2.458479587,0.17658,-0.017980072,-0.0002185,0.7565285,-0.58745,-0.163539183,-0.027446179,0.000228517
0,5.93505,5.886,-1.475413209,0.105948,-0.010867077,0.0309465,0.4548915,-0.345474,-0.099798797,-0.014712191,-0.004209412
0,1.97181,1.962,-0.491755091,0.035316,-0.003610384,-0.0098375,0.1562765,-0.119202,-0.03384055,-0.006082551,0.001310272
0,3.924,3.924,-0.036771804,0.80442,-0.007184844,-0.0131385,0.2953945,-0.1501475,-0.025098531,0.03129187,-0.001521323
0,7.848,7.848,-0.073543608,1.60884,-0.014369688,-0.0154255,0.5859575,-0.2895075,-0.047909368,0.065304988,-0.002304798
0,11.81124,11.8701,-0.110790903,2.4333705,-0.02162638,-0.0189925,0.8825795,-0.4562135,-0.072672785,0.100117388,-0.002548705
0,15.77448,15.696,-0.147678955,3.21768,-0.028883073,-0.0245215,1.1866275,-0.6094955,-0.096584122,0.130455224,-0.002282809
0,19.62,19.62,-0.18385902,4.0221,-0.03592422,-0.0294505,1.4756715,-0.7561255,-0.1202274,0.16372479,-0.002999129
0,23.544,23.62248,-0.220774521,4.8426084,-0.043109064,-0.0353785,1.7748315,-0.9157025,-0.142148318,0.196179267,-0.003332075
0,27.50724,27.468,-0.257698498,5.63094,-0.050365756,-0.0386135,2.0706835,-1.0579505,-0.166295949,0.232744185,-0.005472084
0,31.4901,31.56858,-0.295237424,6.4715589,-0.057658373,-0.0403025,2.3711355,-1.2272655,-0.19148627,0.265543368,-0.007071164
0,29.43,29.43,-0.27578853,6.03315,-0.05388633,-0.0347985,2.2137845,-1.1427055,-0.178981753,0.247630738,-0.007022831
0,25.62372,25.506,-0.239904335,5.22873,-0.046917031,-0.0314435,1.9281245,-0.9897765,-0.154983148,0.214741657,-0.005687374
0,21.70953,21.73896,-0.203493892,4.4564868,-0.039750149,-0.0267695,1.6325505,-0.8429865,-0.132379412,0.183094241,-0.004617723
0,17.658,17.658,-0.165473118,3.61989,-0.032331798,-0.0216485,1.3273225,-0.6843525,-0.107801687,0.148283895,-0.003562709
0,13.734,13.734,-0.128701314,2.81547,-0.025146954,-0.0176115,1.0320105,-0.5236235,-0.082647207,0.11743446,-0.002909887
0,9.81,9.81,-0.09192951,2.01105,-0.01796211,-0.0110905,0.7372855,-0.3676865,-0.059070482,0.08365123,-0.002134865
0,5.92524,5.886,-0.055453576,1.20663,-0.010849114,-0.0054315,0.4481325,-0.2199395,-0.035945584,0.050305272,-0.001258451
0,1.962,1.962,-0.018385902,0.40221,-0.003592422,0.0001655,0.1509935,-0.0658475,-0.011140484,0.018377193,-0.000509014
0,3.924,0,-0.02958696,0,0.400911156,-0.01463,0.311965,-0.0044825,-0.024488852,-0.001459354,-0.02388961
0,7.848,0,-0.05917392,0,0.801822312,-0.02241,0.611071,-0.0003925,-0.047704733,-0.000868375,-0.049242246
0,11.772,0,-0.08876088,0,1.212935868,-0.028524,0.910927,-0.0001085,-0.071033612,-0.000943052,-0.074925481
0,15.73524,0,-0.11864371,0,1.603572776,-0.018532,1.21382,-0.0028345,-0.095219658,-0.000811704,-0.098486362
0,19.62,0,-0.1479348,0,2.00455578,-0.000981,1.510062,-0.0021745,-0.1187175,-0.000216956,-0.122785626
0,23.544,0,-0.17752176,0,2.408527656,0.017745,1.818889,-0.0014245,-0.142701748,0.000670884,-0.145037685
0,27.50724,0,-0.20740459,0,2.806306244,0.039315,2.123961,-0.0021535,-0.166895635,0.001242201,-0.168329871
0,31.47048,0,-0.237287419,0,3.207145551,0.057659,2.438524,0.0016105,-0.190137397,0.002581437,-0.19049305
0,29.43,0,-0.2219022,0,3.00683367,0.056937,2.254063,-0.0063265,-0.178658353,0.001048222,-0.183504199
0,25.506,0,-0.19231524,0,2.607962994,0.037394,1.956665,-0.0028325,-0.154942379,0.000934466,-0.159301397
0,21.66048,0,-0.163320019,0,2.221191501,0.019271,1.669173,0.0028985,-0.13219717,0.001460189,-0.135750736
0,17.66781,0,-0.133215287,0,1.80408224,0.003722,1.362318,-0.0022965,-0.107517604,-6.17935E-05,-0.111682836
0,13.734,0,-0.10355436,0,1.404209286,-0.010607,1.06473,0.0017255,-0.083279194,-4.44E-05,-0.087247307
0,9.81,0,-0.0739674,0,1.00227789,-0.010599,0.760458,0.0050865,-0.05932789,0.000418486,-0.063535738
0,5.92524,0,-0.04467631,0,0.603335366,-0.001195,0.461266,0.0087445,-0.035603392,0.001015743,-0.038830409
0,1.962,0,-0.01479348,0,0.200455578,0.00477,0.154309,0.0135515,-0.011100489,0.002098154,-0.013824882
0,0,7.848,-0.883143288,0.063447156,0,-0.001787,0.014695,-0.480502,-0.042333813,-0.026719583,0.002103913
0,0,15.696,-1.766286576,0.126894312,0,0.038016,0.018175,-0.949317,-0.081965318,-0.047965854,-0.002431101
0,0,23.58324,-2.648723544,0.19026962,0,0.034668,0.029544,-1.42757,-0.122940743,-0.070003047,-0.000735282
0,0,31.392,-3.532573152,0.253788624,0,0.032396,0.044656,-1.907307,-0.164452131,-0.09265793,0.001490455
0,0,39.24,-4.41571644,0.31723578,0,0.041565,0.046677,-2.383229,-0.200204685,-0.113963088,0.000202135
0,0,47.16648,-5.317935234,0.382095576,0,0.048681,0.057012,-2.862026,-0.248847656,-0.133387075,0.00046451
0,0,54.936,-6.182003016,0.444130092,0,0.057528,0.079153,-3.344295,-0.283263768,-0.156926146,0.002544914
0,0,62.83305,-7.064263404,0.507487437,0,0.066731,0.081613,-3.818723,-0.321073458,-0.173897356,0.001241972
0,0,58.86,-6.62357466,0.47585367,0,0.070525,0.077868,-3.599413,-0.304641369,-0.17093753,0.000579735
0,0,51.012,-5.74299239,0.412601056,0,0.054466,0.063922,-3.111003,-0.269007737,-0.146156052,0.000736873
0,0,43.24248,-4.855875444,0.348815661,0,0.046593,0.047462,-2.636955,-0.222309639,-0.12458229,-0.000425091
0,0,35.316,-3.974144796,0.285512202,0,0.046293,0.036163,-2.150267,-0.182604295,-0.099945222,-0.001649879
0,0,27.47781,-3.093385946,0.222241626,0,0.035202,0.034973,-1.673619,-0.144048833,-0.078272026,0.00027734
0,0,19.62,-2.20785822,0.15861789,0,0.03262,0.027442,-1.199207,-0.10199144,-0.057225424,-3.17E-05
0,0,11.81124,-1.324008612,0.095098886,0,0.014363,0.020954,-0.719325,-0.060836491,-0.03352352,0.001384283
0,0,3.924,-0.441571644,0.031723578,0,-0.010765,0.009444,-0.241914,-0.019964414,-0.011105025,0.002809177
0,0,7.848,0.063447156,0.797235156,0,-0.010336,0.001572,-0.386687,0.00066655,0.019295073,0.000204973
0,0,15.696,0.126894312,1.594470312,0,-0.015844,0.003488,-0.779377,0.002606488,0.039258265,0.000280407
0,0,23.57343,0.190871208,2.391651582,0,-0.021906,0.005917,-1.166603,-8.11112E-05,0.062863479,0.000541959
0,0,31.40181,0.253965204,3.188922662,0,-0.029426,0.007899,-1.555199,0.004335064,0.084257955,0.000576711
0,0,39.24,0.31723578,3.98617578,0,-0.036727,0.010196,-1.960425,0.007382411,0.104115057,0.000782565
0,0,47.16648,0.380539239,4.799499336,0,-0.042075,0.01421,-2.369634,-0.002135534,0.122478102,0.001210271
0,0,54.936,0.444130092,5.580646092,0,-0.04983,0.014546,-2.75839,0.010915515,0.149656376,0.00100427
0,0,62.79381,0.507753828,6.377863286,0,-0.056027,0.016158,-3.161035,0.01576468,0.172961489,0.001057753
0,0,58.86,0.47585367,5.97926367,0,-0.052146,0.015024,-2.963576,0.013096412,0.160591486,0.000969335
0,0,51.05124,0.413112834,5.181956666,0,-0.044194,0.012815,-2.564599,0.011249238,0.139585551,0.000821901
0,0,43.24248,0.350371998,4.384649661,0,-0.03657,0.010621,-2.185756,0.009156005,0.109562856,0.000627426
0,0,35.316,0.285512202,3.587558202,0,-0.02847,0.009167,-1.776364,0.003552712,0.093279136,0.000574366
0,0,27.49743,0.22201116,2.796356196,0,-0.020841,0.007528,-1.376074,0.000708491,0.075077194,0.00030781
0,0,19.62,0.15861789,1.99308789,0,-0.013056,0.004336,-0.985403,0.0041015,0.050616155,-2.75E-05
0,0,11.772,0.095170734,1.195852734,0,-0.005961,0.002153,-0.589167,0.001939135,0.030254779,-0.000207358
0,0,3.924,0.031723578,0.398617578,0,-9.60E-05,-0.00013,-0.185061,0.001568415,0.013047805,-0.000334499
0,0,3.924,0.070632,-0.007184844,0.408096,-0.010358,0.0172635,-0.23718,0.001998052,-0.012172361,-0.022160188
0,0,7.848,0.141264,-0.014369688,0.816192,-0.017261,0.0263125,-0.463745,0.002451129,-0.018655764,-0.047017386
0,0,11.82105,0.2127789,-0.021644343,1.224288,-0.027306,0.0319825,-0.712689,0.005545315,-0.032195962,-0.072870241
0,0,15.696,0.282528,-0.028739376,1.632384,-0.020786,0.0417715,-0.95066,0.004825484,-0.043869381,-0.097020377
0,0,19.62,0.35316,-0.03592422,2.04048,-0.00728,0.0525435,-1.189932,0.006437908,-0.054154095,-0.120373552
0,0,23.55381,0.42396858,-0.043127026,2.45673792,0.005491,0.0638295,-1.435345,0.006956341,-0.066378726,-0.145047556
0,0,27.468,0.494424,-0.050293908,2.856672,0.020969,0.0727395,-1.683838,0.003731117,-0.079341171,-0.168659496
0,0,31.41162,0.56540916,-0.057514676,3.26680848,0.036163,0.0787935,-1.906119,0.019243408,-0.081076338,-0.193428445
0,0,29.43,0.52974,-0.05388633,3.06072,0.027723,0.0760395,-1.80569,0.013745087,-0.086196765,-0.180841109
0,0,25.506,0.459108,-0.046701486,2.652624,0.015008,0.0622795,-1.576191,0.009524615,-0.081108086,-0.157615926
0,0,21.67029,0.39006522,-0.039678301,2.24554824,0.001409,0.0534855,-1.336799,0.001319773,-0.069843034,-0.133655952
0,0,17.658,0.317844,-0.032331798,1.836432,-0.011976,0.0421765,-1.089621,0.004013952,-0.05838901,-0.109903531
0,0,13.734,0.247212,-0.025146954,1.43037648,-0.021698,0.0321785,-0.837914,-0.000876659,-0.041736937,-0.086874784
0,0,9.81,0.17658,-0.01796211,1.02024,-0.019978,0.0213725,-0.596612,0.004371323,-0.031372075,-0.062488008
0,0,5.886,0.105948,-0.010777266,0.612144,-0.011295,0.0099835,-0.351519,0.002267344,-0.018006594,-0.037847005
0,0,1.962,0.035316,-0.003592422,0.204048,-0.002703,-0.0039565,-0.116709,-2.33309E-05,-0.006447756,-0.013851991
0,0,7.848,-1.907550576,0.141264,0.816192,0.0410625,0.033421,-0.4753985,-0.083882727,-0.021312804,-0.052481333
0,0,11.8701,-2.885170246,0.2136618,1.2344904,0.0299215,0.057074,-0.7278385,-0.126574746,-0.033147466,-0.074673911
0,0,15.696,-3.815101152,0.282528,1.632384,0.0499075,0.073317,-0.9578405,-0.166570858,-0.042729865,-0.09663683
0,0,19.7181,-4.792720822,0.3549258,2.0506824,0.0762095,0.096426,-1.1933825,-0.208640873,-0.052398795,-0.119579565
0,0,23.62248,-5.741727234,0.42520464,2.45673792,0.1097985,0.111347,-1.4320175,-0.249983665,-0.06243411,-0.143518737
0,0,27.468,-6.676427016,0.494424,2.856672,0.1511535,0.114087,-1.6427565,-0.290538884,-0.068251299,-0.169989312
0,0,31.392,-7.630202304,0.565056,3.264768,0.1793905,0.135654,-1.8717735,-0.331912071,-0.076483522,-0.192560611
0,0,29.43,-7.15331466,0.52974,3.06072,0.1551605,0.135773,-1.7764575,-0.313000939,-0.075621602,-0.178262965
0,0,25.506,-6.199539372,0.459108,2.652624,0.1184895,0.119633,-1.5372225,-0.271420883,-0.065609429,-0.154595509
0,0,21.73896,-5.283915096,0.39130128,2.25064944,0.1000315,0.09395,-1.3149165,-0.231438102,-0.057169079,-0.133940125
0,0,17.658,-4.291988796,0.317844,1.836432,0.0745575,0.07255,-1.0693455,-0.188390733,-0.047407464,-0.11110184
0,0,13.734,-3.338213508,0.247212,1.428336,0.0164155,0.055037,-0.8339305,-0.144741915,-0.037409558,-0.084404176
0,0,9.81,-2.38443822,0.17658,1.02024,0.0286795,0.047632,-0.5951105,-0.104128175,-0.027768216,-0.061612811
0,0,5.86638,-1.425894056,0.10559484,0.61010352,0.0125085,0.030892,-0.3557515,-0.0626122,-0.016899946,-0.035957791
0,0,1.962,-0.476887644,0.035316,0.204048,-0.0064655,0.008173,-0.1163075,-0.021270493,-0.005954103,-0.011340118
0,0,3.924,-0.007184844,0.80442,0.408096,-0.0181255,0.011029,-0.1354595,0.002222913,0.033375271,-0.023092138
0,0,7.848,-0.014369688,1.60884,0.816192,-0.0260045,0.021871,-0.2936265,0.002203906,0.06475455,-0.047314844
0,0,11.772,-0.021554532,2.41326,1.22632848,-0.0344095,0.033836,-0.4491835,0.002575099,0.097355831,-0.072215723
0,0,15.696,-0.028739376,3.21768,1.632384,-0.0409865,0.043957,-0.6037615,0.002933474,0.130072447,-0.097308132
0,0,19.62,-0.03592422,4.0221,2.04048,-0.0312145,0.053876,-0.7584265,0.003516451,0.164106922,-0.121542538
0,0,23.60286,-0.043216837,4.8385863,2.45469744,-0.0210205,0.067129,-0.9144415,0.004643791,0.198631701,-0.145538503
