X (m),Y (m),Z (m),CdX
-0.718281939,0.19332807,1.274903141,0.000150182
-0.733895257,0.193352504,1.27519032,8.76E-05
-0.749517176,0.208910245,1.27472599,4.22E-05
-0.765145441,0.224461832,1.274126421,4.11E-05
-0.70277764,0.193290121,1.274241963,0.00050578
-0.689611476,0.206095052,1.272943374,0.000318443
-0.666881511,0.673440847,1.012936325,3.94E-05
-0.668626753,0.677003368,1.006330273,0.000265923
-0.667345511,0.679895783,0.999910125,0.000128053
-0.669374976,0.668991792,1.022869514,3.22E-05
-0.669213417,0.666756598,1.02746904,2.13E-05
-0.666100823,0.671035665,1.017625986,4.45E-05
-0.665473556,0.672377346,1.014632541,2.43E-05
-0.670200906,0.663529535,1.03487471,2.24E-05
-0.666289841,0.664116989,1.031691765,0.000105765
-0.676419078,0.678329619,1.006392355,0.000255757
-0.682978473,0.677028869,1.011402837,3.04E-05
-0.686224607,0.677280723,1.011987947,5.98E-05
-0.69008748,0.675975106,1.016009601,6.27E-05
-0.694621936,0.677041676,1.01533926,2.98E-05
-0.684114107,0.683198587,0.998729168,0.000259379
-0.690612876,0.687236283,0.992084417,0.00011521
-0.69318408,0.688777137,0.989506777,0.000112494
-0.707380291,0.697061385,0.975031636,0.000239448
-0.715127705,0.701483558,0.96711635,0.000252589
-0.694681394,0.673309942,1.023086122,3.01E-05
-0.69790184,0.675421612,1.019800126,6.64E-05
-0.694067288,0.670986377,1.027589239,7.29E-05
-0.690272691,0.666413029,1.035364403,6.43E-05
-0.693460593,0.668637071,1.032096614,3.09E-05
-0.777205217,0.701597256,0.982777354,0.000208461
-0.768108298,0.703423635,0.976431011,9.25E-05
-0.761624016,0.706797221,0.967174884,0.000242291
-0.753893948,0.706023802,0.967060269,0.000236363
-0.739645367,0.704949993,0.965945352,0.00011235
-0.68688373,0.663911582,1.039030212,4.36E-05
-0.682769012,0.664767848,1.035879753,3.08E-05
-0.673301836,0.663646066,1.035122748,9.21E-06
-0.671202297,0.66202495,1.038372506,2.28E-05
-0.678285762,0.66328201,1.037227388,5.17E-05
-0.718324,0.208845972,1.274410133,9.03E-05
-0.733910701,0.208878456,1.274585261,5.60E-05
-0.749519062,0.224421871,1.273957399,4.74E-05
-0.765167468,0.239980931,1.273344264,9.14E-05
-0.70269313,0.208779677,1.273748964,0.000599933
-0.767596115,0.252939248,1.272782949,6.50E-05
-0.665727256,0.67439707,1.010581795,3.29E-05
-0.661992337,0.676504695,1.004901905,0.000100156
-0.660897366,0.679215776,0.998935002,0.00026471
-0.664920197,0.665169291,1.029196469,3.63E-05
-0.665974882,0.668834604,1.022216102,3.89E-05
-0.665807998,0.666751298,1.026814571,2.45E-05
-0.665413337,0.669908348,1.019746837,9.69E-06
-0.662478688,0.670827286,1.017057733,1.75E-05
-0.662450113,0.672215318,1.014055982,3.96E-05
-0.667583063,0.66323821,1.034601283,3.46E-05
-0.664392589,0.662339408,1.032756564,9.56E-05
-0.690241907,0.664336677,1.039419944,6.86E-05
-0.684126785,0.679478349,1.006650831,0.000242609
-0.690056141,0.677823596,1.012149803,6.42E-05
-0.697867773,0.67726743,1.015942411,6.04E-05
-0.693921042,0.678413409,1.012197212,6.55E-05
-0.691914149,0.684454545,0.998548858,0.000266537
-0.730546537,0.703255512,0.967466203,0.000229734
-0.699684818,0.689160477,0.990676742,0.000232583
-0.707394939,0.69365431,0.982899601,0.000254618
-0.71507556,0.697977794,0.975251074,0.000249021
-0.722832696,0.702384932,0.967279668,0.000246805
-0.6979272,0.673551976,1.023683481,6.15E-05
-0.701731305,0.675972421,1.019948655,6.37E-05
