"Pnx","X (m)","Y (m)","Z (m)"
5.57558958647537,5.41955452642974,0.001,0.804882424218384
-7.45044997556438,5.39204270094068,0.001,0.842462139685409
-9.58347404929951,5.38601370089502,0.001,0.813578790882822
-0.71536959839176,5.23412552891167,0.001,0.835899165129943
-0.903992008015484,5.21881949120826,0.001,0.833490848157226
-0.795826907861159,5.22647135612263,0.001,0.834714384397092
5.50025644633392,5.42258987776705,0.001,0.806741477836213
-7.32387783403055,5.39254418747003,0.001,0.842951940582013
-9.59051104596697,5.38461408807064,0.001,0.816103761675139
-0.607231758915011,5.24165951057731,0.001,0.83702827058354
5.47122208254036,5.42464551199912,0.001,0.808000428945607
-7.42064633131299,5.39322416480237,0.001,0.843618404022853
-9.59718332550103,5.38236918093708,0.001,0.820153705102239
-0.515723793092606,5.24904988931786,0.001,0.838092672746621
-0.429374232078439,5.25643087414644,0.001,0.839143415420321
5.40119425663749,5.42711770514273,0.001,0.809514347434855
-7.67258043091818,5.39346095161792,0.001,0.84447197203494
-9.61057671299251,5.38085746067369,0.001,0.822881220011422
1.43678050519196,5.34041923147012,0.001,0.845973980728697
1.31283825196852,5.34460769342237,0.001,0.846847215393212
1.4304292227349,5.33602013405482,0.001,0.845015184235844
1.37142977711675,5.33164767770523,0.001,0.844062194243268
-0.330586171377391,5.26361349516781,0.001,0.840131038422518
-0.245878138202303,5.2706055244277,0.001,0.841062599090993
5.2878342510039,5.43132019327865,0.001,0.812086725483624
-8.21932718006454,5.39270253853696,0.001,0.845646339833773
-9.61269487132585,5.38001428418661,0.001,0.824402904306525
1.32024257397097,5.34843972128128,0.001,0.847600428323822
1.47208068790567,5.32715143731235,0.001,0.84307377263521
-0.175604332681099,5.27759947786167,0.001,0.841994203988135
-0.087585251356282,5.28441430883086,0.001,0.842867452153991
5.17060936934,5.43503143824449,0.001,0.814359314652286
-8.23076451717164,5.39214323982234,0.001,0.846512388131905
-8.2715180578272,5.39160027409464,0.001,0.847353144892323
